NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	IMAGES	TEXT	
324	ARGYRONETIDAE	ARTHROPODA	CHELICERATA		ARACHNIDA	ARANEAE	ARGYRONETIDAE				One species. The Eurasian Argyroneta aquatica is the world’s only aquatic spider. Cursorial, lives and hunts beneath the water surface. Captures aquatic insects, then consumes them in a retreat consisting of an air bubble in a dome-shaped web. Air is replenished from the surface by bubbles trapped in abdominal hydrofuge pubescence.	
325	OXYOPIDAE	ARTHROPODA	CHELICERATA		ARACHNIDA	ARANEAE	OXYOPIDAE				Lynx spiders. Diurnal hunters in low vegetation. Capable ofjumping onto prey. Good vision, eyes form a hexagon. Long, thin, spiny legs with three tarsal claws. Oxyopes.	
326	CLUBIONIDAE	ARTHROPODA	CHELICERATA		ARACHNIDA	ARANEAE	CLUBIONIDAE				Sac spiders. Build a cocoonlike silk retreat, sometimes incorporating a folded leaf. Large spinnerets. Nocturnal hunters. Chiracanthium has a painful but not lethal bite and is often found indoors. Two tarsal claws. Clubiona, Scotinella, Trachelas.	
327	THOMISIDAE	ARTHROPODA	CHELICERATA		ARACHNIDA	ARANEAE	THOMISIDAE				Crab spiders. Cursorial ambush predators, often brightly colored and living on flowers. Sideways movement is crablike. Long, raptorial anterior legs are held outstretched like crab chelipeds. Carapace is about as wide as it is long. Two tarsal claws. Aphantochilus, Synema, Thomisus, Xysticus.	
328	SALTICIDAE	ARTHROPODA	CHELICERATA		ARACHNIDA	ARANEAE	SALTICIDAE				Jumping spiders. The largest spider family. Cursorial, heavy bodied, furry, diurnal, jumping hunters. The males of many species are brightly colored. Excellent vision. Abundant in temperate and tropical regions, common in houses. Two tarsal claws. Corythalia, Gertschia, Menemerus, Neon, Phidippus, Salticus, Trite.	
329	PALPIGRADI	ARTHROPODA	CHELICERATA		ARACHNIDA	PALPIGRADI					The 70 known species of palpigrades are mostly less than 1.5 mm in length and none are larger than 3 mm. Microwhip scorpions are blind, interstitial soil arachnids occurring primarily in tropical and subtropical habitats but also in European subterranean environments. Many of their unusual characteristics, including their size, are adaptations for life in small spaces.	
330	PSEUDOSCORPIONES	ARTHROPODA	CHELICERATA		ARACHNIDA	PSEUDOSCORPIONES					This taxon consists of small arachnids rarely exceeding 7mm in length and usually less than half that. Pseudoscorpions are widespread in leaf litter, under bark, in soil, and in moss and debris, where they are seldom noticed despite being very common. One species, Chelifer ccincroides, lives in human houses and is known as the book scorpion. About 2500 species are known worldwide. This distinct and homogeneous taxon has no close ties to other arachnids, except possibly the solifuges. Their resemblance to true scorpions is superficial and due solely to their common (convergent) possession of large chelate pedipalps. Pseudoscorpions move rapidly backward, although some also move forward and some, sideways. They exhibit a phenomenon known as phoresy, in which they grasp the leg of an insect with their pedipalps and hitch a ride as it flies to a new habitat.	
331	SOLIFUGAE	ARTHROPODA	CHELICERATA		ARACHNIDA	SOLIFUGAE					Solifuges form a taxon of about 800 to 1000 tropical and semi tropical arachnids, sometimes called sun spiders because of their spider like appearance and diurnal habits or wind spiders because of the great speed of the males. In the United States, a few species have been found in Florida and more than 100 have been found in the southwest, some as far north as Colorado. Many solifuges are common in warm, arid regions of the world, but they are also known from grasslands and forests. Solifuges hide under stones and in crevices and many dig burrows. Their length ranges from a few millimeters to as much as 7 cm. The cephalothorax is covered dorsally by a large anterior carapace bearing a pair of closely placed median eyes on the anterior border and a short posterior carapace, or tergum. The hinge between the anterior and posterior carapaces is flexible. The segmented abdomen is large and joined to the cephalothorax by a slightly narrowed waist.	
332	OPILIONES	ARTHROPODA	CHELICERATA		ARACHNIDA	OPILIONES					Opiliones, or Phalangida, contains the familiar long-legged arachnids known as daddy longlegs or harvestmen. The 5000 or more described species live in temperate and tropical climates and most prefer humid habitats. Harvestmen are abundant in vegetation, on the forest floor, on tree trunks and fallen logs, in humus, and in caves. They do not produce silk or toxins and they do not bite, although they may (rarely) pinch. The widespread belief that harvestmen have a highly toxic venom is due to their being confused with pholcid spiders, which also go by the name “daddy longlegs.” These spiders resemble harvestmen but have a potent toxin, although their chelicerae are too small and weak to envenomate humans. Most harvestmen are predators but, unlike almost all other arachnids, many are herbivores, and many feed on dead organic material. Also unlike other arachnids, they are capable of ingesting particulate food. In fact, since the pharynx pedipalps and passed to the chelicerae, which hold and crush it. Unlike other arachnids, the ingested food is not limited to liquid material, but includes small particles. Thus, a greater part of digestion must take place in the midgut. The mouth is preceded by the preoral cavity, which is bounded dorsally by the labrum, ventrally by the labium, and laterally by the gnathobases of the pedipalps and first legs.	
333	RICINULEI	ARTHROPODA	CHELICERATA		ARACHNIDA	RICINULEI					Ricinulei includes about 75 species of small, uncommon arachnids known as tick spiders found in Africa (Ricinoides) and the Americas (Cryptocellus) from Brazil to the southern United States, where they have been collected from leaf litter and in caves. Ricinuleids are heavy-bodied and small, measuring up to 10 mm in length. The cuticle is very thick, heavily sclerotized, and often sculptured. Attached to the anterior margin of the carapace is a unique, hoodlike cucullus that can be raised and lowered. When lowered, it covers the preoral cavity, mouth, and chelicerae. Ricinuleids are blind, but Tiave lateral light-sensitive spots. Unlike the three-part chelicerae of the Acari (mites), tick spider chelicerae have only two articles. The pedipalps are chelate, the second legs are sensory, and the male third legs are used to transfer sperm to the female gonopore. The cephalothorax and 10-segment abdomen are broadly joined. The anterior abdominal segments are wide, but the posterior segments are small and telescoping, with the anus on the 10th segment.	
334	ACARI	ARTHROPODA	CHELICERATA		ARACHNIDA	ACARI					The extraordinarily diverse taxon Acari contains about 40,000 known species of mites and ticks, with conservative estimates of another million waiting to be discovered. From the standpoint of health and economics these are the arachnids most important to humans. Although most mites are free-living, numerous species are parasitic on people, domesticated animals, and crops. Many others are destructive to stored food and other products. Mites are among the most ubiquitous animals, and free-living, terrestrial species are extremely abundant, particularly on plants and in mosses, leaf litter, humus, soil, rotten wood, and detritus. Population densities are enormous, certainly surpassing all other arachnid orders. A handful of leaf litter from a forest floor often contains hundreds of individuals belonging to tens of species. Mites are the only arachnids with a significant presence in aquatic habitats and they are common in both marine and fresh waters. Despite their abundance and economic importance, mites are not as well known as the other arachnids.	
335	ACARIFORMES	ARTHROPODA	CHELICERATA		ARACHNIDA	ACARI	ACARIFORMES				The “mitelike” mites.The most diverse mite taxon, with over 30,000 species. Indirect development. Setae have optically active, birefringent actinochitin. Trichobothria are present. Includes Astigmata, Endeostigmata, Oribatida, Sarcoptiformes, and Trombidiformes (Prostigmata). Belba, Demodex, Dermatophagoides, Mideopsis, Neotrombicula, Sarcoptes, Tetranychus, Trombicula, Trombidium, Tydeus.	
336	OPILIOACARIDA	ARTHROPODA	CHELICERATA		ARACHNIDA	ACARI	OPILIOACARIDA				Large, rare, leathery, primitive mites. Segmented abdomen. Trichobothria are absent. Resemble opilionids. Live in leaf litter and beneath stones. Omnivorous or predatory; ingest solid food. Feed on millipedes, opilionids, mites, pollen. Subtropical and tropical. Opilioacarus, Panchaertes, Paracarus.	
337	PARASITIFORMES	ARTHROPODA	CHELICERATA		ARACHNIDA	ACARI	PARASITIFORMES				Ticks and related mites in about 75 families. Setae have no actinochitin. Trichobothria and coxae are absent. Ventral anal aperture covered by sclerotized plates. Cuticularized ring around gnathosoma. Includes Mesostigmata (many parasitic species), Holothyrida (large, armored mites), and Ixodida (ticks: large, hematophagous, have vertebrate hosts). Caminella, Dermacentor, Ixodes.	
338	PYCNOGONIDA	ARTHROPODA	CHELICERATA		PYCNOGONIDA						Pycnogonida, or Pantopoda, is a taxon (class or superclass) of about 1000 described species of exclusively marine animals known as sea spiders. Pycnogonids are not spiders, however, and the name is based on superficial similarities, such as eight long legs and a small body. Although largely unnoticed, sea spiders actually are common benthic animals that occur from the intertidal zone to the deep sea. They live in all oceans from the poles to the tropics. Careful examination of bryozoans and hydroids scraped from a wharf piling or rocks usually yields a few specimens. Most are bottom dwellers that crawl about over irregular substrates as if on stilts. Some can swim by flapping their legs alternately up and down. A few are pelagic, some are interstitial, and some are commensal or ectoparasitic on other invertebrates.	
339	REMIPEDIA	ARTHROPODA	CRUSTACEA		REMIPEDIA						The first known remipede, Speleonectes lucayensis, was described in 1981 and the taxon is now represented by 10 species in six genera, all from under sea caves primarily in the Bahamas, West Indies, and Yucatan Peninsula. So far, all representatives have been found in water filled caves connecting with the sea at one end and with freshwater ponds at the other. The body of these 15- to 45-mm-long marine crustaceans is elongate, resembling that of a polychaete, with numerous biramous appendages. Powerful rowing strokes of the trunk appendages produce rhythmic preferred by MW waves that sweep along the length of the body for swimming. Remipedes are carnivores or scavengers. The body includes a trunk and a cephalothorax, the latter of which is covered by a sclerotized carapace (cephalic shield). Eyes do not seem to be present, although sometimes there are vestigial eye like structures. Suppression or loss of eyes is a common adaptation in cave dwelling animals. The large first antennae are biramous and bear chemosensory aesthetascs. The much smaller second antennae are paddlelike.	
340	CEPHALOCARIDA	ARTHROPODA	CRUSTACEA		CEPHALOCARIDA						Cephalocarids conform closely to the hypothesized ancestral crustacean in that they are epibenthic deposit feeders with undifferentiated trunk appendages. The nine known species have been collected in sand and mud from the high subtidal to depths of 1550 m in many parts of the world. The first was found in Long Island Sound in 1953. Cephalocarids are tiny crustaceans of less than 4 mm in length.	
341	ANOSTRACA	ARTHROPODA	CRUSTACEA		ANOSTRACA						This relatively small taxon inhabits inland, but not necessarily fresh, waters. Anostraca includes the fairy and brine shrimps, both of which are confined to relictual habitats from which fishes are excluded either because the habitat dries up periodically or because the water is too saline. Brine shrimps, whose eggs are creatively marketed with the claim they will hatch into “sea monkeys,” are familiar to many people.	
342	PHYLLOPODA	ARTHROPODA	CRUSTACEA		PHYLLOPODA						Phvllopoda includes about 800 species of mostly freshwater crustaceans. It is convenient to distinguish, for purposes of discussion, between the “large” and “small” phyllopodans. Large phyllopodans are the tadpole shrimps (Notostraca) and clam shrimps (Spinicaudata and Laevicaudata). Like anostracans, large species are restricted to relictual habitats where they are free of fish predation. Such habitats are typically ephemeral (temporary) ponds, ditches, cave pools, and alkaline lakes from which fishes are excluded, either by the temporary nature of the habitat or its chemistry. The life cycle may be adapted to alternating periods of desiccation and flooding, with dry periods being passed in the egg stage. The most successful, however, are the small phyllopodans, the water fleas, or Cladocera. Unlike large phyllopodans, they are not restricted to relictual habitats and are ecologically important members of benthic and planktonic communities of lakes.	
343	NOTOSTRACA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		NOTOSTRACA				Notostraca consists of only 10 species of benthic tadpole shrimps in the genera Triops and Lepidurus that are found in quiet, inland, fish-free waters. Notostracans resemble anostracans in some respects, but the similarities are now thought to be superficial and due to convergence. The body consists of ahead, thorax, and abdomen, with no secondary tagmosis. An enormous depressed, shieldlike carapace covers the head, thorax, and most of the abdomen. Sessile compound eyes are present on the anterior carapace. The mandibles are large and triturative.	
344	LAEVICAUDATA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		LAEVICAUDATA				These two taxa with several superficial similarities were formerly grouped together in Gonchostraca, or clam shrimps, but are no longer thought to belong to a monophyletic taxon. Nevertheless, it is still convenient to refer to them unofficially as “conchostraca.” The 200 extant described species are characterized by the large, bivalved carapace that encloses the entire body so that, when viewed from the outside, the animal resembles a small clam. The carapace is laterally compressed, unlike that of notostracans, and equipped with a strong transverse adductor muscle.	
345	SPINICAUDATA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		SPINICAUDATA				These two taxa with several superficial similarities were formerly grouped together in Gonchostraca, or clam shrimps, but are no longer thought to belong to a monophyletic taxon. Nevertheless, it is still convenient to refer to them unofficially as “conchostraca.” The 200 extant described species are characterized by the large, bivalved carapace that encloses the entire body so that, when viewed from the outside, the animal resembles a small clam. The carapace is laterally compressed, unlike that of notostracans, and equipped with a strong transverse adductor muscle.	
346	CLADOCERA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		CLADOCERA				Cladocera contains 11 families, with about 600 species, of similar microcrustaceans known collectively as water fleas. In the new classification, Cladocera (Cladoceromorpha) has been divided into four new taxa, Anomopoda, Ctenopoda, Onychopoda, and Haplopoda. Cladocerans have a carapace that serves as a dorsal brood pouch. In most, the carapace is large and bivalved to enclose the trunk, but in some it is reduced to no more than the brood pouch. The compound eyes are fused to form a single movable eye equipped with muscles. There may also be a small median naupliar eye. The second antennae are large and are the major swimming organs. The first antennae are tiny.	
347	ANOMOPODA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		CLADOCERA	ANOMOPODA			Trunk is short and enclosed by a well-developed, hingeless, laterally compressed, bivalve carapace. Head is expanded dorsally and laterally to form a head shield. Trunk is short, its segments fused. Five or six pairs of dissimilar trunk appendages which do not beat in metachronal waves. Postabdomen reflexed anteriorly under trunk. Postabdomen has a pair of long setae and a pair of large terminal claws. Development is direct; hatch as miniature adults. Resting eggs enclosed in ephippium derived from the carapace. Freshwater. Nine families including Bosminidae, Chydoridae, Daphniidae, Macrothricidae, and Moinidae. The majority of cladocerans are anomopods. Alona, Bosmina, Ceriodaphnia, Chydorus, Daphnia, Macrothrix, Moina, Scapholeberis.	
348	CTENOPODA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		CLADOCERA	CTENOPODA			Similar to anomopods. Short trunk is enclosed by well-developed, laterally compressed, bivalve carapace lacking a true hinge. No head shield. Six pairs of similar trunk appendages beat in rhythmic waves. Post abdomen has a pair of long setae and a pair of large terminal claws. Development is direct; hatch as miniature adults. Chiefly freshwater, but one marine genus. Two families, Holopediidae and Sididae. Holopedium, Sida.	
349	ONYCHOPODA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		CLADOCERA	ONYCHOPODA			Do not closely resemble anomopods or ctenopods. Head and trunk are short. Carapace is reduced, represented only by dorsal brood pouch; does not enclose trunk. Development is direct. Freshwater, marine predators. Trunk appendages raptorial, adapted for grasping rather than filtering. Includes Cercopagidae, Podonidae, Polyphemidae. Bythotrephes, Evadne, Podon, Polyphemus.	
350	HAPLOPODA	ARTHROPODA	CRUSTACEA		PHYLLOPODA		CLADOCERA	HAPLOPODA			Very different from other cladocerans. Elongate head and body. Carapace is a dorsal brood pouch in females, absent in males. Freshwater zooplanktivores. Much larger than other cladocerans, up to 18 mm. Anterior trunk.appendages are raptorial and adapted for grasping smaller zooplankters. Development indirect, hatching stage is a metanauplius. Leptodoridae the only family, Leptodora kindtii the only species.	
351	MALACOSTRACA	ARTHROPODA	CRUSTACEA		MALACOSTRACA						Large and successful Malacostraca, with 23,000 living species, contains over half of the known species of crustaceans. It includes most of the large well-known crustaceans, such as crabs, lobsters, crayfishes, and shrimps, in addition to an abundance of small but ecologically important species. Unlike other crustacean taxa, tagmosis, with few exceptions, is standardized.	
352	LEPTOSTRACA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		LEPTOSTRACA				Leptostracans, or phyllocarids, are small, benthic marine malacostracans. They look like tiny shrimps enclosed in an enormous carapace. About 20 species occur worldwide and range in length from 10 to 40 mm. Except for a single planktonic species, all are benthic and found from the intertidal to the deep sea. Species of Nebalia occur in mud and seaweed on the both coasts of North America.	
353	STOMATOPODA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		STOMATOPODA				The 300 species of marine crustaceans known as mantis shrimps constitute Stomatopoda. Mantis shrimp are highly specialized predators of fishes, crabs, shrimps, and molluscs, and many of their distinctive features are related to their raptorial behavior. The dorsoventrally depressed body is divided into a head, thorax, and abdomen and there is no cephalothorax. The head bears a pair of large, stalked compound eyes and a single median naupliar eye. The first antennae are unusual in being triramous, with three flagella. Each second antenna consists of a peduncle, flagellum, and large antennal scale. Dorsally, a shieldlike carapace covers the head and first four thoracic segments. A movable median rostrum articulates with the anterior edge of the carapace and covers the bases of the eyestalks.	
354	DECAPODA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		DECAPODA				Decapoda includes shrimps, crayfishes, lobsters, and crabs and are certainly the most familiar crustaceans. Most decapods are large and many are edible and support important fisheries. The approximately 10,000 described species represent about one-quarter of the known crustaceans. Because of their large size, abundance, and ecological and economic importance, decapods are the most carefully studied and best-known crustaceans. Most are marine and benthic, but the crayfishes and some shrimps and crabs have invaded fresh water A few crabs are terrestrial and some decapods are planktonic.	
355	SYNCARIDA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		SYNCARIDA				Syncarida is represented by about 50 species of primitive crustaceans in two taxa, Anaspidacea and Bathynellacea. Some fossil syncaridans are known from marine habitats, but all Recent species are freshwater.	
356	ANASPIDACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		SYNCARIDA	ANASPIDACEA			Anaspidaceans are shrimp like syncaridans with many primitive characteristics. Segments and appendages are only moderately specialized. The first thoracic segment bears maxillipeds and is fused with the head to form a small cephalothorax, but there is no carapace. The remaining thoracic appendages are similar to each other. The abdomen consists of six segments with up to five pairs of pleopods. Pleopods 1 and 2 of the male are intromittent organs, and fertilization is internal. The telson and a pair of uropods are on the sixth abdominal segment. Anaspidaceans inhabit relictual fresh-water habitats where there are few or no predators. They are found in caves, streams, and lakes in Tasmania, Australia, New Zealand, and South America. Several live in crayfish burrows and many inhabit lacustrine vegetation beds. Anaspidaceans are suspension feeders or omnivores, and the largest is 5 cm in length.	
357	BATHYNELLACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		SYNCARIDA	BATHYNELLACEA			Bathynellaceans are elongate, blind, interstitial or groundwater syncaridans. Most occur in fresh water or, in a few instances, brackish water. Thermobathynella occurs in hot springs at temperatures of up to 55°C. The body is small and vermiform with reduced appendages, as is characteristic of interstitial animals. The tagmata are a head, thorax, and abdomen with no secondary tagmosis. The thorax consists of eight segments, but none is fused with the head. Cephalothorax, maxillipeds, and carapace are absent. Thoracic appendages 1 through 7 are similar and biramous. The eighth thoracopod is reduced or absent. The last of the six abdominal segments is fused with the telson to form a pleotelson. Abdominal appendages, with the exception of a pair of uropods on the pleotelson, are reduced or absent.	
358	EUPHAUSIACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		EUPHAUSIACEA				Euphausiaceans, or krill, are pelagic crustaceans approximately 3 cm in length. All 85 described species are marine. Like primitive decapods, krill have a shrimplike body with a highly developed carapace fused with all thoracic segments. Unlike the decapods, however, the euphausiacean carapace does not extend ventrally beyond the bases of the legs. It does not form a branchial chamber and the gills are exposed. The thoracic legs are biramous and the gills are filamentous epipods on the protopod. The thoracic exopods move rhythmically to ventilate the gills. Although there are eight pairs of thoracic appendages, the eighth, and sometimes the seventh, are reduced. The second pair of thoracopods may be raptorial in carnivorous species, but maxillipeds are absent. Pleopods, uropods, and telson resemble those of shrimps.	
359	MYSIDACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	MYSIDACEA			Mysidaceans are small, shrimphke peracarids of freshwater, brackish, and marine habitats. Most are 2 to 30 mm in length, but the bathypelagic Gnathophausia may reach 35 cm. Some are important members of northern lakes, but most are marine; they may be benthic or pelagic.	
360	AMPHIPODA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	AMPHIPODA			Amphipods are small crustaceans often found in large numbers and high diversity in aquatic habitats. With more than 6000 species, Amphipoda is the largest peracaridan taxon. Most amphipods are marine, but many are found in fresh water and one family has terrestrial and semiterrestrial species. In the sea they are common, diverse, and ecologically important in pelagic and benthic habitats.	
361	GAMMARIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	AMPHIPODA	GAMMARIDEA		The largest amphipod taxon, Gammaridea, includes about 5000 of the 6000 amphipod species. These are the “typical” amphipods most like the stem amphipod. Gammarideans usually are laterally compressed, although some are dorsoventrally depressed. Most are benthic and usually remain closely associated with the bottom despite being capable of swimming. Typical gammarideans have large coxal plates, a large abdomen with six pairs of appendages, and relatively small compound eyes. The first thoracic segment is fused with the head to form a cephalothorax.	
362	HYPERIIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	AMPHIPODA	HYPERIIDEA		Hyperiidea is a taxon of about 500 species of pelagic marine amphipods. What little is known of their life histories suggests that all hyperiideans spend at least part of the life cycle as commensals or parasites of gelatinous zooplankters such as salps, siphonophores, jellyfishes, and ctenophores. For example, members of Phronimidae live in the barrel-shaped tunic of salps, which they propel through the water.	
363	CAPRELLIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	AMPHIPODA	CAPRELLIDEA		Species of the aptly named skeleton shrimps are highly derived, strictly marine benthic amphipods adapted for a life of clinging to complex substrata such as sea weeds, bryozoans, and hydroids. Most are lie-in-wait predators of small invertebrates, but some consume epiphytic diatoms. There are about 350 extant described species. The body, which bears little resemblance to that of other amphipods, is elongate, sticklike, cylindrical, and not laterally compressed. The second thoracic segment is partially fused with the head to create a cephalothorax consisting of the head plus two thoracic segments. The first thoracic appendages are maxillipeds, as usual, but those of the second remain gnathopods. The third thoracic segment bears the second pair of gnathopods. Thoracic segments 4 and 5 bear slender, reduced or vestigial pereopods, gills, and, infemales, largeoostegites. The marsupium is thus restricted to the middle of the thorax on the fourth and fifth thoracic segments. Thoracic appendages 6 through 8 are well-developed, subchelate prehensile legs used to cling tenaciously to the substratum. Coxae are reduced or vestigial. The abdomen consists of five small segments with vestigial appendages.	
364	INGOLFIELLIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		PANCARIDA	AMPHIPODA	INGOLFIELLIDEA		Ingolfiellideans, some of which are less than 1 mm long, are adapted for interstitial habitats in both marine and freshwater environments. The body is cylindrical and the thorax and abdomen are well developed. The pleopods are vestigial, but the first two pairs of uropods are strong. The 30 known species occur in hypogean (subterranean), interstitial, and deep-sea habitats. Their small size, loss of eyes and pigmentation, vermiform shape, and reduced appendages are familiar adaptations for life in interstitial habitats. Ingolfiella.	
365	CUMACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		CUMACEA				Cumaceans are small inhabitants of sand and mud bottoms. The taxon is small, with about 800 species of distinctively tadpole-shaped and easily recognized marine peracaridans. Most are about 1 mm in length, and the largest is about 4 mm. They reach their greatest diversity and ecological significance in the deep sea.	
366	MICTACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		MICTACEA				Mictacea was described in 1985 and is now known from two small, subcylindrical species: Hirsutia bathyalis from 1000 m in the North Atlantic and South Pacific and Mictocarishalope from Bermudan sea caves. The largest is 3.5 mm in length. The first thoracomere is fused with the head and its appendages are maxillipeds. The carapace covers only the first thoracomere. The seven pereopods are biramous with setose exopods used primarily for swimming. Oostegites are present on most pereopods of females and form a marsupium. The six-segmented abdomen bears reduced pleopods on its first five segments and well-developed uropods and a telson on the sixth. Mictaceans probably are detritivores, but little is known of their biology.	
367	TANAIDACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		TANAIDACEA				Tanaidaceans are small, marine, benthic crustaceans. Most of the approximately 700 described species are only 2 to 5 mm in length, although one reaches 12 cm. The body is elongate and cylindrical or depressed in cross section. The head is fused with the first two thoracic segments to form a cephalothorax, which is covered by a carapace. The appendages of the head thoracic segment form a maxilliped whereas those of the second are chelipeds, which may be very large. Chelipeds on the second thoracic segment are a distinctive feature of tanaidaceans. The remaining six thoracic segments form the pereon and their appendages are pereopods. In many tanaidaceans, silk glands in the pereon open at pores at the tips of several anterior pereopods. Silk is used in tube construction and for draglines. Female pereopods 1 to 4 usually bear oostegites that form a marsupium. Some have oostegites only on the fourth pereopods.	
368	SPELAEOGRIPHACEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		SPELAEOGRIPHACEA				This small taxon of subterranean peracaridans includes only three known species: Spelaeogriphus lepidops from Bat Cave in Table Mountain, South Africa; the Brazilian Potiicoara brasiliensis; and Mangkurtu mityula from Western Australia. The body is long and cylindrical and may reach up to 9 mm in length. The head thoracomere is fused with the head and bears maxillipeds. A small carapace extends posteriorly to cover the second thoracomere and part of the third. Most of the seven pereopods are biramous and their exopods are gills. Females have oostegites on the first five pereopods. The abdomen has six segments and the biramous, setose pleopods are mostly well developed and natatory, although the fifth is vestigial. The uropods are biramous. The biology and internal anatomy are poorly known.	
369	ISOPODA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA				Most of the 4000 described species of isopods live in the sea, where they are widely distributed, diverse, abundant, and ecologically important in most benthic habitats. In addition, many are found in freshwater benthic communities, including interstitial, hypogean, and epigean habitats. The wood lice, or pill bugs, are the most successful terrestrial crustaceans. The taxon includes many parasitic species, including two exclusively parasitic higher taxa. They have, however, no pelagic representatives equivalent to the hyperiidean amphipods. Among crustaceans, Isopoda is exceeded only by the copepods, decapods, and amphipods in number of species. Most isopods are 5 to 15 mm in length, but the giant, deep-sea Bathynomus giganteus reaches a length of 42 cm and a width of 15 cm and some interstitial Microcerberus are only 1mm. Isopods resemble amphipods in several respects and are often compared—and sometimes confused—with them, but the similarities are probably convergent. Amphipods tend to be laterally compressed whereas most isopods are dorsoventrally depressed.	
370	FLABELLIFERA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	FLABELLIFERA			A large, diverse, important taxon of chiefly marine, benthic isopods. The majority of shallow-water, marine, benthic isopods are flabelliferans. Body usually is depressed, often broadly arched in cross section. Many resemble terrestrial wood lice. A few freshwater species. Many are carnivores or parasites of fishes. Bathynomus, Cirolana, Cymothoa, Lirnnoria, Paracerceis, Sphaeroma, Rocinela.	
371	VALVIFERA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	VALVIFERA			Another important taxon of marine, benthic isopods. Uropods ventral to the pleotelson form opercula (valves) to enclose and protect branchial chamber and pieopods. Pleotelson often elongate. Erichsonella, Idotea.	
372	ASELLOTA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	ASELLOTA			Chiefly freshwater, but some deep-sea species. Most freshwater isopods are asellotes; both epigean (surface waters) and subterranean. Caecidotea, Lirceus, Munna.	
373	ANTHURIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	ANTHURIDEA			Chiefly shallow-water, marine, benthic. Mostly Southern Hemisphere. Body elongate, subcylindrical. Most burrow in soft sediments or occupy crevices in hard substrata. A few in hypogean freshwaters. Apanthura, Cyathura.	
374	PHERATOICIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	PHERATOICIDEA			Small taxon of amphipod-like freshwater isopods. Only in South Africa, India, New Zealand, and Australia. Feed on plant detritus. Nichollsia, Phreatoicus.	
375	ONISCOIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	ONISCOIDEA			Semiterrestrial and terrestrial isopods Some are so well adapted to terrestrial habitats that they inhabit deserts. Includes supratidal sea slaters and fully terrestrial wood lice, pill bugs, sow bugs. Herbivores. Armadillidium, Ligia, Oniscus, Porcellio, Tylos.	
376	MICROCERBERIDAE	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	MICROCERBERIDAE			Tiny interstitial isopods. Freshwater, shallow marine habitats. Vermiform, cylindrical in cross section, as is typical of interstitial animals. Microcerberus.	
377	GNATHIIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	GNATHIIDEA			Small taxon of parasitic marine isopods. Juvenile stages parasitic on fishes; adults do not feed. Adults subsist on fish blood stored in the digestive ceca as juveniles. Adults live in burrows constructed by the male. Some are viviparous, female retains and gestates developing embryos in ovaries. Gnathia, Paragnathia.	
378	EPICARIDEA	ARTHROPODA	CRUSTACEA		MALACOSTRACA		ISOPODA	EPICARIDEA			Large taxon of highly modified, parasitic, marine isopods. Sucking mouthparts; feed on blood of crustacean hosts. Asymmetrical female is highly modified for parasitism and barely recognizable as an isopod. Male is a dwarf, usually symmetrical and isopod-like. Some are hermaphroditic. Asymmetrione, Athelges, Bopyrus Cancricepon, Cyproniscus, Probopyrus.	
