NUMBER	NAME	KINGDOM	PHYLUM	SUBPHYLUM	CLADE	SUBCLADE	ORDER	SUBORDER	FAMILY	LEVEL	LEGENDA
240	EURYPTERIDA	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	EURYPTERIDA	----------------------------	----------------------------	ORDER	
241	SCORPIONES	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	SCORPIONES	----------------------------	----------------------------	ORDER	Scorpions belong to an ancient taxon with a fossil record beginning in the Silurian period. Silurian and Devonian scorpions were aquatic, had gills, and lacked claws on the legs. Terrestrial scorpions appeared in the Devonian. The 1200 described species of Recent scorpions are most common in the tropics and subtropics, but occur on all continents except Antarctica. In the Western Hemisphere, they are found from southern Canada to southern South America and in North America are most abundant in the southeast and southwest.
242	UROPYGI	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	UROPYGI	----------------------------	----------------------------	ORDER	The approximately 100 described species of Uropygi are called whip scorpions. Some are large, and the American vinegaroon Mastigoproctus giganteus reaches 80 mm in length. The cephalothorax is completely covered by a carapace that bears a pair of anterior median eyes and three or four pairs of lateral eyes. Uropygid chelicerae are small and have two articles. The distal article forms a fang that folds against the large basal article. The large, raptorial pedipalps are stout and heavy, and short in comparison with the legs. The last two articles of the pedipalps may be modified to form a pincer used in seizing prey. During feeding, the prey is seized and torn apart by the pedipalps and then passed to the chelicerae. The animal holds its pedipalps and long, tactile first legs in front as it moves forward. The antenniform, sensory first legs touch the ground repeatedly.
243	AMBLYPYGI	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	AMBLYPYGI	----------------------------	----------------------------	ORDER	Amblypygids, or whip spiders, are tropical and semitropical arachnids resembling spiders in many aspects. Several of the 100 known species are common, but because they are secretive nocturnal animals, hiding during the day beneath logs, bark, stones, leaves, and similar objects, they typically escape notice Amblypygids range in length from 4 to 45 mm and have a dark, somewhat flattened, spiderlike body.
244	MESOTHELAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	MESOTHELAE	----------------------------	SUBORDER	Abdomen has segmental tergites and sternites. Seven or eight spinnerets, the first located at the level of the second pair of book lungs. Orthognath chelicerae. About 40 extant species in one taxon, the tropical Asian Liphistiidae. Liphistius, Heptathela.
245	MYGALOMORPHAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	MYGALOMORPHAE	----------------------------	SUBORDER	Abdominal segmentation not externally apparent. Two pairs of book lungs. Six spinnerets. Fangs are orthognath, moving in a plane parallel to the long body axis. Includes tarantulas, bird spiders (both Theraphosidae; Aphonpelma, Avicularia, Theraphosa), purse-web spiders (Atypidae; Atypus), funnel-web spiders (Dipluridae; Atrax, Diplura, Euagrus, Hadronyche, Trechono), and trap-door spiders (Ctenizidae; Bothryocyrtum, Cteniza, Cyclocosmia, Ummidia). Most stalk or ambush prey, a few are web builders. Many are very large. Atrax robustus, with fangs that can penetrate a fingernail, is said to be the world’s deadliest spider. About 2200 extant species in 15 families, many North American.
246	ARANEOMORPHAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	ARANEOMORPHAE	----------------------------	SUBORDER	Fangs are not orthognath. Abdomen is not segmented. One pair of book lungs in most species. Cribellum and calamistrum present primitively, but lost in most. 90 families with 32,000 species.
247	NEOCRIBELLATAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	NEOCRIBELLATAE	FAMILY	Fangs are labidognath, moving at right angles to the long axis of the body. Females usually have an epigynum. One or no pairs of book lungs; at least one pair of tracheae. 
248	HYPOCHIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	HYPOCHILIDAE	FAMILY	Oval cribellum on a cone. Calamistrum has two rows of setae. Eight eyes. Nine species. Ectatosticta, Hypochilus. 
249	DYSDERIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	DYSDERIDAE	FAMILY	Large, primitive spiders. Short legs. Six eyes in two rows of three; anterior median eyes are absent. Book lungs and tracheae; lungs have few leaves; two pairs of spiracles close together. No epigynum. Dysdera, Sergestria. 
250	FILISTATIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	FILISTATIDAE	FAMILY	Small cribellum and reduced calamistrum. Large, branched poison glands, eight eyes. Kukulcania (also known as Filistata) hibernalis, the southern house spider, is sometimes confused with the brown recluse.
251	SCYTODIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	SCYTODIDAE	FAMILY	Spitting spiders. Six eyes in three pairs. Three tarsal claws. Carapace is highly arched to accommodate large poison and salivary glands. Cursorial nocturnal hunters. Squirt glue from chelicerae up to 20 mm to entangle prey or predators; harmless to humans. Scytodes.
252	SICARIIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	SICARIIDAE	FAMILY	Includes the recluse spiders. Six eyes in three pairs, posterior laterals are absent. Cursorial nocturnal hunters that build loose diurnal refuges in dry, dark areas. The bite of the brown recluse, Loxosceles reclusa, and others produces serious necrotic lesions. Sicarius largely restricted to the Southern Hemisphere. Loxosceles, Sicarius. 
253	PHOLCIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	PHOLCIDAE	FAMILY	Daddy long legs spiders. Longlegs, resemble harvestmen. Small chelicerae. Spin small webs of tangled threads in sheltered recesses. Several species are common in houses and, with other web-building house dwellers, are responsible for cobwebs. Holocnemus, Pholcus, Physocyclus, Spermophora. 
254	CAPONIIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	CAPONIIDAE	FAMILY	Book lungs are absent, replaced by tracheae; two pairs of spiracles. Usually have only two eyes (anterior median). Small chelicerae. Cursorial. Caponia, Nops, Tarsonops.
255	MIMETIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	MIMETIDAE	FAMILY	First legs have a row of long, curved setae.Prey on other spiders. Cursorial, do not make webs. Sometimes ambush and sometimes invade the web of the prey. Ero, Meta.
256	ULOBORIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	ULOBORIDAE	FAMILY	Cribellate. Lack poison glands and venom. Orb webs made at least partially of cribellate silk, usually positioned horizontally. Some social species have webs in dense colonies. Philoponella, Uloborus, Zosis.
257	DINOPIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	DINOPIDAE	FAMILY	Ogre-faced spiders. Eight eyes in three rows; anterior median eyes are enormous and face anteriorly. Dinopis, Menneus. 
258	THERIDIIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	THERIDIIDAE	FAMILY	Comb-footed spiders. Large taxon of nocturnal, irregular web builders. Includes the venomous black widow, Latrodectus, as well as the common house spider Achaearanea tepidariorum, which resembles a black widow. Steatoda, Theridion.
259	LINYPHIIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	LINYPHIIDAE	FAMILY	Sheet-web spiders. Webs are horizontal sheets or bowls, sometimes in vegetation. Many tiny species in leaf litter. Linyphia, Erigone, Halorates. 
260	TETRAGNATHIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	TETRAGNATHIDAE	FAMILY	Orb weavers similar to Araneidae, but their posterior median eyes lack a tapetum. Pachygnatha, Tetragnatha.
261	ARANEIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	ARANEIDAE	FAMILY	Orb-web spiders. Posterior median eyes have a tapetum. Many are large and colorful, such as the black- and-yellow garden spider, Argiope. Araneus, Gasterac.antha, Gea, Neoscona, Nephila. 
262	LYCOSIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	LYCOSIDAE	FAMILY	Wolf spiders. Fast, hairy, dull brown or black, cursorial hunters. Posterior median eyes are the largest of the eight eyes. Three tarsal claws. Lycosa tarentula is the Mediterranean tarantula. Common members of the nocturnal ground fauna. Arctosa, Lycosa, Pardosa, Pirata. 
263	PISAURIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	PISAURIDAE	FAMILY	Fishing and nursery spiders. Large cursorial hunters similar to wolf spiders, but with longer legs. Common around fresh water and move efficiently on, and sometimes under, the water surface to capture prey. Dolomedes, Pisaura, Thalssius, Tinus.
264	AGELENIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	AGELENIDAE	FAMILY	Funnel weaver, or grass, spiders. Spin sheet webs with a funnel-shaped retreat. Prey are captured on the sheet. Web is constructed in dense vegetation, in crevices of logs or rocks, and in houses. Easily visible, especially in grass covered with dew. Agelena consociata is social. Agelena, Agelenopsis, Desis, Hololena, Tegenaria.
265	ARGYRONETIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	ARGYRONETIDAE	FAMILY	One species. The Eurasian Argyroneta aquatica is the world’s only aquatic spider. Cursorial, lives and hunts beneath the water surface. Captures aquatic insects, then consumes them in a retreat consisting of an air bubble in a dome-shaped web. Air is replenished from the surface by bubbles trapped in abdominal hydrofuge pubescence.
266	OXYOPIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	OXYOPIDAE	FAMILY	Lynx spiders. Diurnal hunters in low vegetation. Capable ofjumping onto prey. Good vision, eyes form a hexagon. Long, thin, spiny legs with three tarsal claws. Oxyopes.
267	CLUBIONIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	CLUBIONIDAE	FAMILY	Sac spiders. Build a cocoonlike silk retreat, sometimes incorporating a folded leaf. Large spinnerets. Nocturnal hunters. Chiracanthium has a painful but not lethal bite and is often found indoors. Two tarsal claws. Clubiona, Scotinella, Trachelas. 
268	THOMISIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	THOMISIDAE	FAMILY	Crab spiders. Cursorial ambush predators, often brightly colored and living on flowers. Sideways movement is crablike. Long, raptorial anterior legs are held outstretched like crab chelipeds. Carapace is about as wide as it is long. Two tarsal claws. Aphantochilus, Synema, Thomisus, Xysticus. 
269	SALTICIDAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ARANEAE	PALAEOBRIBELLATAE	SALTICIDAE	FAMILY	Jumping spiders. The largest spider family. Cursorial, heavy bodied, furry, diurnal, jumping hunters. The males of many species are brightly colored. Excellent vision. Abundant in temperate and tropical regions, common in houses. Two tarsal claws. Corythalia, Gertschia, Menemerus, Neon, Phidippus, Salticus, Trite.
270	PALPIGRADI	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	PALPIGRADI	----------------------------	----------------------------	ORDER	The 70 known species of palpigrades are mostly less than 1.5 mm in length and none are larger than 3 mm. Microwhip scorpions are blind, interstitial soil arachnids occurring primarily in tropical and subtropical habitats but also in European subterranean environments. Many of their unusual characteristics, including their size, are adaptations for life in small spaces.
271	PSEUDOSCORPIONES	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	PSEUDOSCORPIONES	----------------------------	----------------------------	ORDER	This taxon consists of small arachnids rarely exceeding 7mm in length and usually less than half that. Pseudoscorpions are widespread in leaf litter, under bark, in soil, and in moss and debris, where they are seldom noticed despite being very common. One species, Chelifer ccincroides, lives in human houses and is known as the book scorpion. About 2500 species are known worldwide. This distinct and homogeneous taxon has no close ties to other arachnids, except possibly the solifuges. Their resemblance to true scorpions is superficial and due solely to their common (convergent) possession of large chelate pedipalps. Pseudoscorpions move rapidly backward, although some also move forward and some, sideways. They exhibit a phenomenon known as phoresy, in which they grasp the leg of an insect with their pedipalps and hitch a ride as it flies to a new habitat.
272	SOLIFUGAE	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	SOLIFUGAE	----------------------------	----------------------------	ORDER	Solifuges form a taxon of about 800 to 1000 tropical and semi tropical arachnids, sometimes called sun spiders because of their spider like appearance and diurnal habits or wind spiders because of the great speed of the males. In the United States, a few species have been found in Florida and more than 100 have been found in the southwest, some as far north as Colorado. Many solifuges are common in warm, arid regions of the world, but they are also known from grasslands and forests. Solifuges hide under stones and in crevices and many dig burrows. Their length ranges from a few millimeters to as much as 7 cm. The cephalothorax is covered dorsally by a large anterior carapace bearing a pair of closely placed median eyes on the anterior border and a short posterior carapace, or tergum. The hinge between the anterior and posterior carapaces is flexible. The segmented abdomen is large and joined to the cephalothorax by a slightly narrowed waist. 
273	OPILIONES	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	OPILIONES	----------------------------	----------------------------	ORDER	Opiliones, or Phalangida, contains the familiar long-legged arachnids known as daddy longlegs or harvestmen. The 5000 or more described species live in temperate and tropical climates and most prefer humid habitats. Harvestmen are abundant in vegetation, on the forest floor, on tree trunks and fallen logs, in humus, and in caves. They do not produce silk or toxins and they do not bite, although they may (rarely) pinch. The widespread belief that harvestmen have a highly toxic venom is due to their being confused with pholcid spiders, which also go by the name “daddy longlegs.” These spiders resemble harvestmen but have a potent toxin, although their chelicerae are too small and weak to envenomate humans. Most harvestmen are predators but, unlike almost all other arachnids, many are herbivores, and many feed on dead organic material. Also unlike other arachnids, they are capable of ingesting particulate food. In fact, since the pharynx pedipalps and passed to the chelicerae, which hold and crush it. Unlike other arachnids, the ingested food is not limited to liquid material, but includes small particles. Thus, a greater part of digestion must take place in the midgut. The mouth is preceded by the preoral cavity, which is bounded dorsally by the labrum, ventrally by the labium, and laterally by the gnathobases of the pedipalps and first legs.
274	RICINULEI	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	RICINULEI	----------------------------	----------------------------	ORDER	Ricinulei includes about 75 species of small, uncommon arachnids known as tick spiders found in Africa (Ricinoides) and the Americas (Cryptocellus) from Brazil to the southern United States, where they have been collected from leaf litter and in caves. Ricinuleids are heavy-bodied and small, measuring up to 10 mm in length. The cuticle is very thick, heavily sclerotized, and often sculptured. Attached to the anterior margin of the carapace is a unique, hoodlike cucullus that can be raised and lowered. When lowered, it covers the preoral cavity, mouth, and chelicerae. Ricinuleids are blind, but Tiave lateral light-sensitive spots. Unlike the three-part chelicerae of the Acari (mites), tick spider chelicerae have only two articles. The pedipalps are chelate, the second legs are sensory, and the male third legs are used to transfer sperm to the female gonopore. The cephalothorax and 10-segment abdomen are broadly joined. The anterior abdominal segments are wide, but the posterior segments are small and telescoping, with the anus on the 10th segment. 
275	OPILIOACARIDA	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ACARI	OPILIOACARIDA	----------------------------	SUBORDER	Large, rare, leathery, primitive mites. Segmented abdomen. Trichobothria are absent. Resemble opilionids. Live in leaf litter and beneath stones. Omnivorous or predatory; ingest solid food. Feed on millipedes, opilionids, mites, pollen. Subtropical and tropical. Opilioacarus, Panchaertes, Paracarus. 
276	ACARIFORMES	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ACARI	ACARIFORMES	----------------------------	SUBORDER	The“mitelike” mites.The most diverse mite taxon, with over 30,000 species. Indirect development. Setae have optically active, birefringent actinochitin. Trichobothria are present. Includes Astigmata, Endeostigmata, Oribatida, Sarcoptiformes, and Trombidiformes (Prostigmata). Belba, Demodex, Dermatophagoides, Mideopsis, Neotrombicula, Sarcoptes, Tetranychus, Trombicula, Trombidium, Tydeus. 
277	PARASITIFORMES	BILATERIA	ANTHROPODA	CHELICERATA	ARACHNIDA	----------------------------	ACARI	PARASITIFORMES	----------------------------	SUBORDER	Ticks and related mites in about 75 families. Setae have no actinochitin. Trichobothria and coxae are absent. Ventral anal aperture covered by sclerotized plates. Cuticularized ring around gnathosoma. Includes Mesostigmata (many parasitic species), Holothyrida (large, armored mites), and Ixodida (ticks: large, hematophagous, have vertebrate hosts). Caminella, Dermacentor, Ixodes.
278	REMIPEDIA	BILATERIA	ANTHROPODA	CRUSTACEA	REMIPEDIA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	The first known remipede, Speleonectes lucayensis, was described in 1981 and the taxon is now represented by 10 species in six genera, all from under sea caves primarily in the Bahamas, West Indies, and Yucatan Peninsula. So far, all representatives have been found in water filled caves connecting with the sea at one end and with freshwater ponds at the other. The body of these 15- to 45-mm-long marine crustaceans is elongate, resembling that of a polychaete, with numerous biramous appendages. Powerful rowing strokes of the trunk appendages produce rhythmic preferred by MW waves that sweep along the length of the body for swimming. Remipedes are carnivores or scavengers. The body includes a trunk and a cephalothorax, the latter of which is covered by a sclerotized carapace (cephalic shield). Eyes do not seem to be present, although sometimes there are vestigial eye like structures. Suppression or loss of eyes is a common adaptation in cave dwelling animals. The large first antennae are biramous and bear chemosensory aesthetascs. The much smaller second antennae are paddlelike. 
279	CEPHALOCARIDA	BILATERIA	ANTHROPODA	CRUSTACEA	CEPHALOCARIDA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	Cephalocarids conform closely to the hypothesized ancestral crustacean in that they are epibenthic deposit feeders with undifferentiated trunk appendages. The nine known species have been collected in sand and mud from the high subtidal to depths of 1550 m in many parts of the world. The first was found in Long Island Sound in 1953. Cephalocarids are tiny crustaceans of less than 4 mm in length. 
280	ANOSTRACA	BILATERIA	ANTHROPODA	CRUSTACEA	ANOSTRACA	----------------------------	----------------------------	----------------------------	----------------------------	CLADE	This relatively small taxon inhabits inland, but not necessarily fresh, waters. Anostraca includes the fairy and brine shrimps, both of which are confined to relictual habitats from which fishes are excluded either because the habitat dries up periodically or because the water is too saline. Brine shrimps, whose eggs are creatively marketed with the claim they will hatch into “sea monkeys,” are familiar to many people.
281	NOTOSTRACA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	NOTOSTRACA	----------------------------	----------------------------	ORDER	Notostraca consists of only 10 species of benthic tadpole shrimps in the genera Triops and Lepidurus that are found in quiet, inland, fish-free waters. Notostracans resemble anostracans in some respects, but the similarities are now thought to be superficial and due to convergence. The body consists of ahead, thorax, and abdomen, with no secondary tagmosis. An enormous depressed, shieldlike carapace covers the head, thorax, and most of the abdomen. Sessile compound eyes are present on the anterior carapace. The mandibles are large and triturative.
282	LAEVICAUDATA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	LAEVICAUDATA	----------------------------	----------------------------	ORDER	These two taxa with several superficial similarities were formerly grouped together in Gonchostraca, or clam shrimps, but are no longer thought to belong to a monophyletic taxon. Nevertheless, it is still convenient to refer to them unofficially as “conchostraca.” The 200 extant described species are characterized by the large, bivalved carapace that encloses the entire body so that, when viewed from the outside, the animal resembles a small clam. The carapace is laterally compressed, unlike that of notostracans, and equipped with a strong transverse adductor muscle.
283	SPINICAUDATA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	SPINICAUDATA	----------------------------	----------------------------	ORDER	These two taxa with several superficial similarities were formerly grouped together in Gonchostraca, or clam shrimps, but are no longer thought to belong to a monophyletic taxon. Nevertheless, it is still convenient to refer to them unofficially as “conchostraca.” The 200 extant described species are characterized by the large, bivalved carapace that encloses the entire body so that, when viewed from the outside, the animal resembles a small clam. The carapace is laterally compressed, unlike that of notostracans, and equipped with a strong transverse adductor muscle.
284	ANOMOPODA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	CLADOCERA	ANOMOPODA	----------------------------	SUBORDER	Trunk is short and enclosed by a well-developed, hingeless, laterally compressed, bivalve carapace. Head is expanded dorsally and laterally to form a head shield. Trunk is short, its segments fused. Five or six pairs of dissimilar trunk appendages which do not beat in metachronal waves. Postabdomen reflexed anteriorly under trunk. Postabdomen has a pair of long setae and a pair of large terminal claws. Development is direct; hatch as miniature adults. Resting eggs enclosed in ephippium derived from the carapace. Freshwater. Nine families including Bosminidae, Chydoridae, Daphniidae, Macrothricidae, and Moinidae. The majority of cladocerans are anomopods. Alona, Bosmina, Ceriodaphnia, Chydorus, Daphnia, Macrothrix, Moina, Scapholeberis.
285	CTENOPODA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	CLADOCERA	CTENOPODA	----------------------------	SUBORDER	Similar to anomopods. Short trunk is enclosed by well-developed, laterally compressed, bivalve carapace lacking a true hinge. No head shield. Six pairs of similar trunk appendages beat in rhythmic waves. Post abdomen has a pair of long setae and a pair of large terminal claws. Development is direct; hatch as miniature adults. Chiefly freshwater, but one marine genus. Two families, Holopediidae and Sididae. Holopedium, Sida. 
286	ONYCHOPODA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	CLADOCERA	ONYCHOPODA	----------------------------	SUBORDER	Do not closely resemble anomopods or ctenopods. Head and trunk are short. Carapace is reduced, represented only by dorsal brood pouch; does not enclose trunk. Development is direct. Freshwater, marine predators. Trunk appendages raptorial, adapted for grasping rather than filtering. Includes Cercopagidae, Podonidae, Polyphemidae. Bythotrephes, Evadne, Podon, Polyphemus. 
287	HAPLOPODA	BILATERIA	ANTHROPODA	CRUSTACEA	PHYLLOPODA	----------------------------	CLADOCERA	HAPLOPODA	----------------------------	SUBORDER	Very different from other cladocerans. Elongate head and body. Carapace is a dorsal brood pouch in females, absent in males. Freshwater zooplanktivores. Much larger than other cladocerans, up to 18 mm. Anterior trunk.appendages are raptorial and adapted for grasping smaller zooplankters. Development indirect, hatching stage is a metanauplius. Leptodoridae the only family, Leptodora kindtii the only species. 
288	LEPTOSTRACA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	LEPTOSTRACA	----------------------------	----------------------------	ORDER	Leptostracans, or phyllocarids, are small, benthic marine malacostracans. They look like tiny shrimps enclosed in an enormous carapace. About 20 species occur worldwide and range in length from 10 to 40 mm. Except for a single planktonic species, all are benthic and found from the intertidal to the deep sea. Species of Nebalia occur in mud and seaweed on the both coasts of North America.
289	STOMATOPODA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	STOMATOPODA	----------------------------	----------------------------	ORDER	The 300 species of marine crustaceans known as mantis shrimps constitute Stomatopoda. Mantis shrimp are highly specialized predators of fishes, crabs, shrimps, and molluscs, and many of their distinctive features are related to their raptorial behavior. The dorsoventrally depressed body is divided into a head, thorax, and abdomen and there is no cephalothorax. The head bears a pair of large, stalked compound eyes and a single median naupliar eye. The first antennae are unusual in being triramous, with three flagella. Each second antenna consists of a peduncle, flagellum, and large antennal scale. Dorsally, a shieldlike carapace covers the head and first four thoracic segments. A movable median rostrum articulates with the anterior edge of the carapace and covers the bases of the eyestalks.
290	DECAPODA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	DECAPODA	----------------------------	----------------------------	ORDER	Decapoda includes shrimps, crayfishes, lobsters, and crabs and are certainly the most familiar crustaceans. Most decapods are large and many are edible and support important fisheries. The approximately 10,000 described species represent about one-quarter of the known crustaceans. Because of their large size, abundance, and ecological and economic importance, decapods are the most carefully studied and best-known crustaceans. Most are marine and benthic, but the crayfishes and some shrimps and crabs have invaded fresh water A few crabs are terrestrial and some decapods are planktonic.
291	ANASPIDACEA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	SYNCARIDA	ANASPIDACEA	----------------------------	SUBORDER	Anaspidaceans are shrimp like syncaridans with many primitive characteristics. Segments and appendages are only moderately specialized. The first thoracic segment bears maxillipeds and is fused with the head to form a small cephalothorax, but there is no carapace. The remaining thoracic appendages are similar to each other. The abdomen consists of six segments with up to five pairs of pleopods. Pleopods 1 and 2 of the male are intromittent organs, and fertilization is internal. The telson and a pair of uropods are on the sixth abdominal segment. Anaspidaceans inhabit relictual fresh-water habitats where there are few or no predators. They are found in caves, streams, and lakes in Tasmania, Australia, New Zealand, and South America. Several live in crayfish burrows and many inhabit lacustrine vegetation beds. Anaspidaceans are suspension feeders or omnivores, and the largest is 5 cm in length.
292	BATHYNELLACEA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	SYNCARIDA	BATHYNELLACEA	----------------------------	SUBORDER	Bathynellaceans are elongate, blind, interstitial or groundwater syncaridans. Most occur in fresh water or, in a few instances, brackish water. Thermobathynella occurs in hot springs at temperatures of up to 55°C. The body is small and vermiform with reduced appendages, as is characteristic of interstitial animals. The tagmata are a head, thorax, and abdomen with no secondary tagmosis. The thorax consists of eight segments, but none is fused with the head. Cephalothorax, maxillipeds, and carapace are absent. Thoracic appendages 1 through 7 are similar and biramous. The eighth thoracopod is reduced or absent. The last of the six abdominal segments is fused with the telson to form a pleotelson. Abdominal appendages, with the exception of a pair of uropods on the pleotelson, are reduced or absent. 
293	EUPHAUSIACEA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	SYNCARIDA	EUPHAUSIACEA	----------------------------	SUBORDER	Euphausiaceans, or krill, are pelagic crustaceans approximately 3 cm in length. All 85 described species are marine. Like primitive decapods, krill have a shrimplike body with a highly developed carapace fused with all thoracic segments. Unlike the decapods, however, the euphausiacean carapace does not extend ventrally beyond the bases of the legs. It does not form a branchial chamber and the gills are exposed. The thoracic legs are biramous and the gills are filamentous epipods on the protopod. The thoracic exopods move rhythmically to ventilate the gills. Although there are eight pairs of thoracic appendages, the eighth, and sometimes the seventh, are reduced. The second pair of thoracopods may be raptorial in carnivorous species, but maxillipeds are absent. Pleopods, uropods, and telson resemble those of shrimps.
294	THERMOSBAENA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	PANCARIDA	THERMOSBAENA	----------------------------	SUBORDER	The only higher-level pancaridan taxon, Thermosbaenacea, consists of about 35 subterranean species from hot springs, caves, and ground water and a few from coastal marine interstitial habitats. Thermosbaenaceans are small crustaceans of only a few millimeters in length. Morphology is variable, but the head is fused with one thoracic segment, producing a small cephalothorax and a pereon of seven segments. The small carapace is fused with the first thoracic segment and covers a variable number of additional segments. In females the carapace is expanded to form a dorsal brood pouch. There are no oostegites. The first thoracopod is a maxilliped, and most pereopods are biramous. Pleopods are present only on the anterior abdominal segments and segment 6 bears the uropods and telson. Thermosbaenaceans are detritivores that swim upside down using the pereopods. The carapace is the chief respiratory surface and the very short heart has only one pair of ostia. Nephridia are unknown. Fertilization is probably internal.
295	MYSIDACEA	BILATERIA	ANTHROPODA	CRUSTACEA	MALACOSTRACA	----------------------------	PERACARIDA	MYSIDACEA	----------------------------	SUBORDER	Mysidaceans are small, shrimphke peracarids of freshwater, brackish, and marine habitats. Most are 2 to 30 mm in length, but the bathypelagic Gnathophausia may reach 35 cm. Some are important members of northern lakes, but most are marine; they may be benthic or pelagic. 
